year,name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2023,"Lyles, Jordan",543475,Royals,KC,R,79.4,371,2817,17.38888889,0.13170039,CUKC,Curveball,59.1,-53.6,5.5,10,6.7,8.6,-1.8,-22,0.910313901,0.278026906
2023,"Bielak, Brandon",656232,Astros,HOU,R,79.5,155,1388,8.567901235,0.11167147,CUKC,Curveball,58.9,-52.9,6,11,5.8,4.4,1.3,30,0.937219731,0.6367713
2023,"Rasmussen, Drew",656876,Rays,TB,R,80,49,674,4.160493827,0.072700297,CUKC,Curveball,58.8,-52.8,6,11,4.6,8.6,-4,-47,0.937219731,0.116591928
2023,"Harris, Hogan",663687,Athletics,OAK,L,76.3,154,1109,6.845679012,0.138863841,CUKC,Curveball,58.7,-58.5,0.2,0,10.6,9.9,0.7,7,0.506726457,0.591928251
2023,"Cease, Dylan",656302,White Sox,CWS,R,80.2,494,3262,20.13580247,0.151440834,CUKC,Curveball,58.5,-52.6,5.9,11,3.6,7.9,-4.3,-55,0.932735426,0.098654709
2023,"Sims, Lucas",608371,Reds,CIN,R,78.1,62,1057,6.524691358,0.058656575,CUKC,Curveball,58.4,-55.7,2.6,5,14.1,9.4,4.7,49,0.730941704,0.901345291
2023,"Suárez, Ranger",624133,Phillies,PHI,L,75.8,384,2023,12.48765432,0.189817103,CUKC,Curveball,58.2,-59.3,-1.1,-2,11.3,10.2,1.1,11,0.3632287,0.627802691
2023,"Grove, Michael",675627,Dodgers,LAD,R,78.3,195,1146,7.074074074,0.170157068,CUKC,Curveball,58.2,-55.2,3,5,8.6,8.9,-0.3,-3,0.775784753,0.426008969
2023,"Verlander, Justin",434378,Astros,HOU,R,78.2,520,2602,16.0617284,0.199846272,CUKC,Curveball,58.2,-55.4,2.8,5,7,5.7,1.3,23,0.753363229,0.6367713
2023,"Scherzer, Max",453286,Rangers,TEX,R,75.4,306,2465,15.21604938,0.124137931,CUKC,Curveball,58.1,-59.2,-1,-2,14.8,11.4,3.5,30,0.381165919,0.820627803
2023,"Gray, Sonny",543243,Twins,MIN,R,79.5,476,2818,17.39506173,0.168914123,CUKC,Curveball,58.1,-52.4,5.7,11,12.9,10,2.9,29,0.919282511,0.793721973
2023,"Nelson, Ryne",669194,D-backs,AZ,R,76.5,127,2355,14.53703704,0.053927813,CUKC,Curveball,58.1,-58.4,-0.3,-1,6.6,9.4,-2.8,-30,0.461883408,0.215246637
2023,"Skubal, Tarik",669373,Tigers,DET,L,76.4,83,1218,7.518518519,0.068144499,CUKC,Curveball,57.9,-58.5,-0.6,-1,7.1,9,-1.9,-22,0.426008969,0.269058296
2023,"Wicks, Jordan",696136,Cubs,CHC,L,78.2,49,583,3.598765432,0.084048027,CUKC,Curveball,57.8,-55.3,2.5,5,7.2,9,-1.8,-20,0.717488789,0.278026906
2023,"Valdez, Framber",664285,Astros,HOU,L,80.2,716,2952,18.22222222,0.242547425,CUKC,Curveball,57.5,-52.6,4.9,9,8.9,7.4,1.5,20,0.878923767,0.659192825
2023,"Hentges, Sam",656529,Guardians,CLE,L,79.9,304,852,5.259259259,0.356807512,CUKC,Curveball,57.5,-53.6,3.9,7,6.8,7.6,-0.7,-10,0.811659193,0.372197309
2023,"Javier, Cristian",664299,Astros,HOU,R,76.6,215,2882,17.79012346,0.074600972,CUKC,Curveball,57.4,-57.9,-0.4,-1,12.2,10,2.2,22,0.452914798,0.717488789
2023,"Wentz, Joey",666214,Tigers,DET,L,77.5,305,1930,11.91358025,0.158031088,CUKC,Curveball,57.3,-56.4,1,2,8.9,9.2,-0.3,-3,0.565022422,0.426008969
2023,"Rosenberg, Kenny",670046,Angels,LAA,L,77.4,36,543,3.351851852,0.066298343,CUKC,Curveball,57.3,-56.4,0.9,2,2.9,7.8,-5,-63,0.551569507,0.085201794
2023,"Turnbull, Spencer",605513,Tigers,DET,R,78.6,38,555,3.425925926,0.068468468,CUKC,Curveball,57.2,-54.5,2.8,5,12,9.7,2.2,23,0.753363229,0.717488789
2023,"Jackson, Andre",656578,Pirates,PIT,R,81.5,65,1001,6.179012346,0.064935065,CUKC,Curveball,57.2,-50.5,6.8,13,6.5,8.2,-1.7,-21,0.968609865,0.30044843
2023,"Cox, Austin",680735,Royals,KC,L,77.8,88,578,3.567901235,0.152249135,CUKC,Curveball,57.1,-56,1.1,2,3.2,7.3,-4.2,-57,0.596412556,0.107623318
2023,"Hill, Rich",448179,Padres,SD,L,69.4,175,2531,15.62345679,0.069142631,ST,Sweeper,57,-56.6,0.4,1,21.3,21.1,0.2,1,0.543478261,0.576086957
2023,"Flaherty, Jack",656427,Orioles,BAL,R,76.2,512,2634,16.25925926,0.194381169,CUKC,Curveball,56.7,-57.1,-0.5,-1,14.2,11.5,2.7,24,0.439461883,0.775784753
2023,"Crawford, Kutter",676710,Red Sox,BOS,R,79.4,250,2099,12.95679012,0.119104335,CUKC,Curveball,56.6,-53.6,3,6,7.9,8.4,-0.5,-6,0.775784753,0.394618834
2023,"Bibee, Tanner",676440,Guardians,CLE,R,78.4,216,2326,14.35802469,0.092863285,CUKC,Curveball,56.5,-55.9,0.6,1,10.3,7.9,2.4,31,0.538116592,0.748878924
2023,"Kaprielian, James",621076,Athletics,OAK,R,75.9,67,1091,6.734567901,0.061411549,CUKC,Curveball,56.5,-58.8,-2.3,-4,9.2,9.3,0,0,0.278026906,0.493273543
2023,"Musgrove, Joe",605397,Padres,SD,R,81.3,370,1550,9.567901235,0.238709677,CUKC,Curveball,56.4,-51.9,4.5,9,11.1,6.4,4.7,73,0.869955157,0.901345291
2023,"Gomber, Austin",596295,Rockies,COL,L,77.6,362,2160,13.33333333,0.167592593,CUKC,Curveball,56.4,-57.2,-0.8,-1,7.6,8,-0.4,-5,0.399103139,0.417040359
2023,"Martinez, Nick",607259,Padres,SD,R,81.8,337,1751,10.80864198,0.192461451,CUKC,Curveball,56.4,-50.6,5.8,12,0.8,7.3,-6.6,-90,0.928251121,0.035874439
2023,"Miller, Bobby",676272,Dodgers,LAD,R,80.6,363,1961,12.10493827,0.185109638,CUKC,Curveball,56.2,-51.8,4.3,8,9.4,8,1.4,18,0.852017937,0.65470852
2023,"Eovaldi, Nathan",543135,Rangers,TEX,R,76,301,2232,13.77777778,0.134856631,CUKC,Curveball,56.2,-58.4,-2.2,-4,9.2,10.7,-1.5,-14,0.291479821,0.322869955
2023,"Rodriguez, Grayson",680570,Orioles,BAL,R,79.9,172,2104,12.98765432,0.081749049,CUKC,Curveball,55.8,-52.1,3.7,7,9.1,8.6,0.5,6,0.798206278,0.556053812
